review,top_aspect,score
"i am a prime customer which means i get all my orders next day as long as i pick prime, never failed",good customer service,0.9957025051116943
In my area there is a lot of flat blocks and we have had about 10 parcels delivered not for our bloc,poor customer service,0.996073842048645
Review text not found,negative delivery experience,0.9768878221511841
In data 03/08/2022 mi viene accettato il reso del Garmin Epix 2 ordine numero : 408-3283372-8858761 ,negative delivery experience,0.9287722706794739
"Who would choose to sell on Amazon, what a rip off. For a long time any items being returned we coul",overpriced,0.989664614200592
This is the way I received the bike. As you can see the bike had a defect that I am being dragged th,poor customer service,0.9976208806037903
"Rude, confrontational with there reply and not helpful with returning products. They are cheap produ",poor customer service,0.994154155254364
While there are advantages in shipping and price to being an expensive ($99) Prime member be prepare,poor customer service,0.9838003516197205
Search on all Amazon platforms .com .nl whatever is terrible. I ordered many times wrong product bec,poor customer service,0.9823089838027954
I joined Prime and ordered 2 seperate products one took 7 days to arrive and the other 5 days not th,negative delivery experience,0.996555507183075
Pissed off with Amazon boughta bed  for my 4 year old grandaughter showing was delivered on Wednesda,poor customer service,0.996722400188446
Good this is amazing thank you AmazonYou are a good company,good customer service,0.9979584217071533
"I don’t recommend Amazon and then customer service as well, please don’t buy as much as you can from",poor customer service,0.9989025592803955
Woke up 1 morning to find my account had been hacked and I'd supposedly ordered a £90 jumper from Ch,poor product quality,0.9975736141204834
Don't use amazon lockers for returns. Left return in locker with supplied key code on Feb 22nd still,poor customer service,0.9982535243034363
"As of September 1st, Unable to get a customer service in the United States...attempted 18 times and ",poor customer service,0.9859381318092346
Haven't experienced any difficulties buying different products on this platform. It's intuitively cl,positive delivery experience,0.9124755859375
Review text not found,negative delivery experience,0.9768878221511841
They delivered my package to a random house in my neighborhood. It was marked as delivered to the co,negative delivery experience,0.9952043890953064
Frequent no shows.  Amazon often promises 1 or 2 day shipping but then the items gets delayed over a,negative delivery experience,0.9959738254547119
These baffoons are horseshit!,poor product quality,0.9965537786483765
"Fails to get 5 stars because of confusion from multiple sellers, and mailing cost differences",negative delivery experience,0.9955143928527832
"I am writing this review to express my deep disappointment with Amazon's delivery service, which has",poor customer service,0.9901648163795471
Amazon frequently send emails stating that a parcel has been handed to the recipient or just has bee,negative delivery experience,0.9820493459701538
"Ordered an invicta watch that arrived complety broken, quartz movement but couldn’t get the dial to ",poor customer service,0.9929769039154053
Very good company I like everythink about the company support and service and delivery was really fa,positive delivery experience,0.9978993535041809
Horrible customer service.  My sister gave my daughter a $50.00 gift card for graduation.  When pull,poor customer service,0.998694121837616
"Their workers are disposables to them. Letting them being killed by a tornado, telling them they are",poor customer service,0.9673507213592529
the amazon logo means a to z as it is supposed to get to you no matter what but now they don't live ,poor customer service,0.9864779114723206
"I always order textbooks from amazon, because of reasonable price.",good value for money,0.9935588240623474
"I love AMAZON. I literally could not live without it, order something the day before and get it the ",positive delivery experience,0.9834977984428406
"Our package got delivered OK, however the item was damaged (not Amazon's fault) but when I contacted",poor customer service,0.992561399936676
"Ordered 4 chairs, only 2 arrived in one box, my wife was there to receive that one box, so I got in ",poor customer service,0.99896240234375
Decent company Good customer service,good customer service,0.9980767369270325
worst customer support.  have my email address and phone number. i cant log in. emails wont arrive. ,poor customer service,0.9984292387962341
"After paying for premium next day delivery the Amazon driver sends me a text saying ""attempted to de",poor customer service,0.9958854913711548
Amazon deliveries can no longer be relied upon. Almost every time I order something they either can’,negative delivery experience,0.9929788112640381
﻿TERRIBLE CUSTOMER SERVICE!I am still out of pocket and being charged overdraft fees 10 DAY on from ,poor customer service,0.9993990063667297
"Had a few issues with Amazon, Paid for goods that fail to arrive on time or at all, Amazon Drivers d",negative delivery experience,0.9987407326698303
"I love Amazon and how it brings us things we want the next day, but they really need to train their ",poor customer service,0.9610986709594727
Reviewing my reviews? That some sh***y behaviour.,poor customer service,0.9770603775978088
Great experience with Amazon so far. I’ve been using them for years. They once gave me a partial ref,good customer service,0.996869683265686
I have had repeated issues with items being delivered in a shoddy fashion and in a manner not consis,negative delivery experience,0.9945593476295471
I have been a customer of Amazon for at least five years if not more. I bought dozens of items from ,negative delivery experience,0.8717079758644104
Amazon closed my account.There refusing to give me a reasonnas to why they have closed my account.Im,poor customer service,0.999113917350769
Review text not found,negative delivery experience,0.9768878221511841
"Despite what they say, we have found returning stuff can be a real headache sometimes.  The process ",negative delivery experience,0.8234707117080688
"The ad title was: Yale safety padlock, pack of 6. Seller: Amazon SL. I did the purchase (order #408-",negative delivery experience,0.9960198402404785
I no longer shop on Amazon.  They are very expensive and they hire a lot of foreign people to save m,good value for money,0.9830707311630249
I'm waiting for a package to arrive. Initially it was suppose to be delivered this Saturday.  Then I,poor customer service,0.9965293407440186
